transaction_id,date,amount,type,category,merchant,is_recurring,is_anomaly,notes
TXN-1045,2026-03-20,40.53,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1046,2026-03-20,56.23,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1047,2026-03-21,16.76,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1048,2026-03-22,110.52,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1049,2026-03-24,84.33,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1050,2026-03-26,15.63,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1051,2026-03-27,65.6,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1052,2026-03-27,109.67,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1053,2026-03-28,52.58,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1054,2026-03-29,640.46,EXPENSE,Dining out & Entertainment,Emergency Electronics Repair,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1055,2026-03-29,23.23,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1056,2026-03-31,10.92,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1057,2026-04-01,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1058,2026-04-01,2400.0,EXPENSE,Housing & Rent,Skyline Apartments LLC,True,False,Monthly apartment rent payment
TXN-1059,2026-04-01,104.9,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1060,2026-04-02,71.52,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1061,2026-04-03,101.39,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1062,2026-04-03,88.32,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1063,2026-04-03,40.9,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1064,2026-04-04,101.47,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1065,2026-04-04,20.72,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1066,2026-04-04,115.44,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1067,2026-04-05,14.99,EXPENSE,Subscriptions & SaaS,Netflix Monthly,True,False,Regular active subscription
TXN-1068,2026-04-05,9.99,EXPENSE,Subscriptions & SaaS,Spotify Premium,True,False,Regular active subscription
TXN-1069,2026-04-05,49.99,EXPENSE,Subscriptions & SaaS,Forgotten Gym Membership,True,True,Flagged unused subscription
TXN-1070,2026-04-05,89.0,EXPENSE,Subscriptions & SaaS,AWS Cloud Services,True,True,Flagged unused subscription
TXN-1071,2026-04-05,65.25,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1072,2026-04-06,94.0,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1073,2026-04-06,90.28,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1074,2026-04-06,100.88,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1075,2026-04-07,74.43,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1076,2026-04-08,100.76,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1077,2026-04-08,40.84,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1078,2026-04-09,97.81,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1079,2026-04-09,90.32,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1080,2026-04-10,65.77,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1081,2026-04-11,91.54,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1082,2026-04-11,95.78,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1083,2026-04-11,46.8,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1084,2026-04-13,81.14,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1085,2026-04-13,1179.52,EXPENSE,Dining out & Entertainment,Luxury Goods Store,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1086,2026-04-14,118.93,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1087,2026-04-15,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1088,2026-04-15,91.3,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1089,2026-04-16,98.79,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1090,2026-04-17,46.54,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1091,2026-04-17,118.86,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1092,2026-04-17,78.75,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1093,2026-04-18,30.93,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1094,2026-04-18,92.36,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1095,2026-04-20,103.95,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1096,2026-04-21,46.15,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1097,2026-04-21,98.97,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1098,2026-04-21,92.09,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1099,2026-04-22,107.02,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1100,2026-04-23,101.86,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1101,2026-04-23,31.09,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1102,2026-04-25,9.44,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1103,2026-04-26,56.93,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1104,2026-04-28,17.86,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1105,2026-04-29,21.91,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1106,2026-04-30,77.82,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1107,2026-05-01,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1108,2026-05-01,2400.0,EXPENSE,Housing & Rent,Skyline Apartments LLC,True,False,Monthly apartment rent payment
TXN-1109,2026-05-01,13.59,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1110,2026-05-02,11.95,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1111,2026-05-02,102.03,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1112,2026-05-03,79.66,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1113,2026-05-03,7.87,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1114,2026-05-04,60.9,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1115,2026-05-04,82.32,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1116,2026-05-05,14.99,EXPENSE,Subscriptions & SaaS,Netflix Monthly,True,False,Regular active subscription
TXN-1117,2026-05-05,9.99,EXPENSE,Subscriptions & SaaS,Spotify Premium,True,False,Regular active subscription
TXN-1118,2026-05-05,49.99,EXPENSE,Subscriptions & SaaS,Forgotten Gym Membership,True,True,Flagged unused subscription
TXN-1119,2026-05-05,89.0,EXPENSE,Subscriptions & SaaS,AWS Cloud Services,True,True,Flagged unused subscription
TXN-1120,2026-05-05,31.37,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1121,2026-05-05,74.5,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1122,2026-05-06,42.3,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1123,2026-05-07,37.18,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1124,2026-05-08,106.54,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1125,2026-05-09,63.66,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1126,2026-05-10,25.06,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1127,2026-05-10,29.31,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1128,2026-05-11,66.28,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1129,2026-05-11,115.58,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1130,2026-05-12,87.64,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1131,2026-05-13,113.44,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1132,2026-05-14,35.67,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1133,2026-05-15,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1134,2026-05-16,52.36,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1135,2026-05-18,106.27,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1136,2026-05-18,47.65,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1137,2026-05-19,22.28,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1138,2026-05-19,94.27,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1139,2026-05-20,21.57,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1140,2026-05-21,111.83,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1141,2026-05-21,5.86,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1142,2026-05-22,47.63,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1143,2026-05-22,77.27,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1144,2026-05-23,29.09,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1145,2026-05-23,63.75,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1146,2026-05-24,105.04,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1147,2026-05-24,81.02,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1148,2026-05-26,14.32,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1149,2026-05-26,35.97,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1150,2026-05-27,87.46,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1151,2026-05-27,104.91,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1152,2026-05-27,91.63,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1153,2026-05-28,107.74,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1154,2026-05-29,50.36,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1155,2026-05-29,90.14,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1156,2026-05-29,65.46,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1157,2026-05-30,13.25,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1158,2026-06-01,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1159,2026-06-01,2400.0,EXPENSE,Housing & Rent,Skyline Apartments LLC,True,False,Monthly apartment rent payment
TXN-1160,2026-06-01,12.33,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1161,2026-06-02,46.54,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1162,2026-06-03,79.48,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1163,2026-06-03,37.16,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1164,2026-06-05,14.99,EXPENSE,Subscriptions & SaaS,Netflix Monthly,True,False,Regular active subscription
TXN-1165,2026-06-05,9.99,EXPENSE,Subscriptions & SaaS,Spotify Premium,True,False,Regular active subscription
TXN-1166,2026-06-05,49.99,EXPENSE,Subscriptions & SaaS,Forgotten Gym Membership,True,True,Flagged unused subscription
TXN-1167,2026-06-05,89.0,EXPENSE,Subscriptions & SaaS,AWS Cloud Services,True,True,Flagged unused subscription
TXN-1168,2026-06-05,68.61,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1169,2026-06-05,106.35,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1170,2026-06-06,6.88,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1171,2026-06-07,55.4,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1172,2026-06-07,84.36,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1173,2026-06-08,63.43,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1174,2026-06-09,34.39,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1175,2026-06-11,98.76,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1176,2026-06-12,44.1,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1177,2026-06-12,28.62,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1178,2026-06-13,72.73,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1179,2026-06-15,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1180,2026-06-15,6.06,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1181,2026-06-15,81.83,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1182,2026-06-15,72.73,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1183,2026-06-16,56.71,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1184,2026-06-16,1082.12,EXPENSE,Dining out & Entertainment,Emergency Electronics Repair,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1185,2026-06-16,61.04,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1186,2026-06-17,47.08,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1187,2026-06-17,39.86,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1188,2026-06-18,29.61,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1189,2026-06-19,111.44,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1190,2026-06-20,73.29,EXPENSE,Travel & Rideshare,Lyft Ride,False,False,Daily transaction
TXN-1191,2026-06-20,34.61,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1192,2026-06-21,82.82,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1193,2026-06-21,46.34,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1194,2026-06-22,61.66,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1195,2026-06-23,60.05,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1196,2026-06-23,30.64,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1197,2026-06-23,100.0,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1198,2026-06-24,69.04,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1199,2026-06-24,109.71,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1200,2026-06-25,565.05,EXPENSE,Dining out & Entertainment,Luxury Goods Store,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1201,2026-06-25,1077.86,EXPENSE,Dining out & Entertainment,Luxury Goods Store,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1202,2026-06-26,57.26,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1203,2026-06-26,115.57,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1204,2026-06-26,40.27,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1205,2026-06-27,98.94,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1206,2026-06-28,114.7,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1207,2026-06-29,8.53,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1208,2026-06-30,110.08,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1209,2026-06-30,9.52,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1210,2026-07-01,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1211,2026-07-01,2400.0,EXPENSE,Housing & Rent,Skyline Apartments LLC,True,False,Monthly apartment rent payment
TXN-1212,2026-07-01,116.63,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1213,2026-07-02,92.93,EXPENSE,Groceries & Food,Local Organic Market,False,False,Daily transaction
TXN-1214,2026-07-02,90.86,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1215,2026-07-03,1074.07,EXPENSE,Dining out & Entertainment,Emergency Electronics Repair,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1216,2026-07-04,535.81,EXPENSE,Dining out & Entertainment,Emergency Electronics Repair,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1217,2026-07-05,14.99,EXPENSE,Subscriptions & SaaS,Netflix Monthly,True,False,Regular active subscription
TXN-1218,2026-07-05,9.99,EXPENSE,Subscriptions & SaaS,Spotify Premium,True,False,Regular active subscription
TXN-1219,2026-07-05,49.99,EXPENSE,Subscriptions & SaaS,Forgotten Gym Membership,True,True,Flagged unused subscription
TXN-1220,2026-07-05,89.0,EXPENSE,Subscriptions & SaaS,AWS Cloud Services,True,True,Flagged unused subscription
TXN-1221,2026-07-05,53.86,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1222,2026-07-06,73.37,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1223,2026-07-06,57.3,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1224,2026-07-07,13.33,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1225,2026-07-08,93.87,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1226,2026-07-09,38.64,EXPENSE,Travel & Rideshare,Delta Air Lines,False,False,Daily transaction
TXN-1227,2026-07-10,119.57,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1228,2026-07-11,52.15,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1229,2026-07-12,26.76,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1230,2026-07-12,68.67,EXPENSE,Dining out & Entertainment,Starbucks Coffee,False,False,Daily transaction
TXN-1231,2026-07-13,118.36,EXPENSE,Travel & Rideshare,Uber Trip,False,False,Daily transaction
TXN-1232,2026-07-15,4250.0,INCOME,Salary & Income,Tech Corp Payroll,True,False,Bi-weekly paycheck deposit
TXN-1233,2026-07-15,69.8,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1234,2026-07-15,37.77,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1235,2026-07-16,59.47,EXPENSE,Groceries & Food,Trader Joe's,False,False,Daily transaction
TXN-1236,2026-07-17,6.46,EXPENSE,Groceries & Food,Whole Foods Market,False,False,Daily transaction
TXN-1237,2026-07-18,89.7,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1238,2026-07-18,8.23,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1239,2026-07-20,913.89,EXPENSE,Dining out & Entertainment,Luxury Goods Store,False,True,Unusual high spending spike flagged by Auditor Agent
TXN-1240,2026-07-21,16.71,EXPENSE,Travel & Rideshare,Chevron Gas Station,False,False,Daily transaction
TXN-1241,2026-07-21,88.18,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
TXN-1242,2026-07-22,66.86,EXPENSE,Groceries & Food,Costco Wholesale,False,False,Daily transaction
TXN-1243,2026-07-23,85.88,EXPENSE,Dining out & Entertainment,Sushi Zen Restaurant,False,False,Daily transaction
TXN-1244,2026-07-25,86.03,EXPENSE,Dining out & Entertainment,AMC Movie Theater,False,False,Daily transaction
TXN-1245,2026-07-25,104.86,EXPENSE,Dining out & Entertainment,Chipotle Mexican Grill,False,False,Daily transaction
